Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Influenza,States,Louisiana,2016,Age,18-24 Years,35.4,29.8 to 41.4,294
Influenza,States,Maine,2016,Age,18-24 Years,53.6,42.1 to 64.8,138
Influenza,States,Maryland,2016,Age,18-24 Years,53.3,45.1 to 61.3,184
Influenza,States,Massachusetts,2016,Age,18-24 Years,65.9,55.6 to 75.2,175
Influenza,States,Michigan,2016,Age,18-24 Years,46.3,39.9 to 52.8,476
Influenza,States,Missouri,2016,Age,18-24 Years,55.0,47.9 to 62.0,278
Influenza,States,Nebraska,2016,Age,18-24 Years,66.9,59.3 to 73.9,257
Influenza,States,New Hampshire,2016,Age,18-24 Years,62.8,48.7 to 75.5,93
Influenza,States,New Jersey,2016,Age,18-24 Years,48.1,40.3 to 56.0,199
Influenza,States,New Mexico,2016,Age,18-24 Years,57.5,52.1 to 62.8,342
Influenza,States,New York,2016,Age,18-24 Years,50.8,44.5 to 57.1,382
Influenza,States,NY-City of New York,2016,Age,18-24 Years,51.7,44.2 to 59.2,216
Influenza,States,NY-Rest of state,2016,Age,18-24 Years,50.0,40.3 to 59.7,166
Influenza,States,Oklahoma,2016,Age,18-24 Years,47.5,41.5 to 53.5,644
Influenza,States,Pennsylvania,2016,Age,18-24 Years,44.7,36.0 to 53.7,188
Influenza,National,United States,2016,Age,18-24 Years,52.5,50.6 to 54.4,7903
Influenza,States,Rhode Island,2016,Age,18-24 Years,76.1,68.8 to 82.4,199
Influenza,States,Texas,2016,Age,18-24 Years,53.3,47.6 to 59.0,489
Influenza,States,Utah,2016,Age,18-24 Years,54.5,48.1 to 60.8,368
Influenza,States,Vermont,2016,Age,18-24 Years,52.2,43.7 to 60.6,152
Influenza,States,Virginia,2016,Age,18-24 Years,57.2,45.5 to 68.3,127
Influenza,States,Washington,2016,Age,18-24 Years,57.8,48.0 to 67.1,202
Influenza,States,West Virginia,2016,Age,18-24 Years,43.9,36.8 to 51.2,280
Influenza,States,Wisconsin,2016,Age,18-24 Years,61.9,51.7 to 71.4,288
Influenza,States,Wyoming,2016,Age,18-24 Years,44.4,35.2 to 53.9,173
Influenza,States,Alabama,2017,Age,18-24 Years,36.6,30.5 to 43.1,271
Influenza,States,Alaska,2017,Age,18-24 Years,54.9,46.0 to 63.5,221
Influenza,States,Colorado,2017,Age,18-24 Years,63.0,54.9 to 70.6,198
Influenza,States,Connecticut,2017,Age,18-24 Years,61.6,53.2 to 69.5,242
Influenza,States,Delaware,2017,Age,18-24 Years,46.4,38.4 to 54.5,179
Influenza,States,Georgia,2017,Age,18-24 Years,33.5,24.5 to 43.5,182
Influenza,States,Illinois,2017,Age,18-24 Years,53.9,46.3 to 61.4,236
Influenza,States,Iowa,2017,Age,18-24 Years,63.2,53.0 to 72.6,256
Influenza,States,Kansas,2017,Age,18-24 Years,57.4,48.9 to 65.6,237
Influenza,States,Kentucky,2017,Age,18-24 Years,37.0,28.6 to 46.0,236
Influenza,States,Louisiana,2017,Age,18-24 Years,44.3,37.9 to 50.8,274
Influenza,States,Maine,2017,Age,18-24 Years,61.8,53.1 to 70.0,177
Influenza,States,Maryland,2017,Age,18-24 Years,61.1,51.8 to 69.8,157
Influenza,States,Massachusetts,2017,Age,18-24 Years,59.8,50.3 to 68.8,212
Influenza,States,Michigan,2017,Age,18-24 Years,42.5,36.1 to 49.1,482
Influenza,States,Missouri,2017,Age,18-24 Years,55.2,47.6 to 62.6,250
Influenza,States,Montana,2017,Age,18-24 Years,56.9,49.5 to 64.1,201
Influenza,States,New Hampshire,2017,Age,18-24 Years,54.3,40.3 to 67.8,90
Influenza,States,New Jersey,2017,Age,18-24 Years,39.4,31.1 to 48.1,166
Influenza,States,New Mexico,2017,Age,18-24 Years,55.4,49.3 to 61.3,285
Influenza,States,New York,2017,Age,18-24 Years,62.5,55.1 to 69.5,307
Influenza,States,NY-City of New York,2017,Age,18-24 Years,58.5,50.5 to 66.2,187
Influenza,States,NY-Rest of state,2017,Age,18-24 Years,67.0,53.4 to 78.8,120
Influenza,States,North Carolina,2017,Age,18-24 Years,59.5,51.3 to 67.4,203
Influenza,States,North Dakota,2017,Age,18-24 Years,62.6,51.9 to 72.4,156
Influenza,States,Oklahoma,2017,Age,18-24 Years,43.8,37.5 to 50.2,558
Influenza,States,Pennsylvania,2017,Age,18-24 Years,55.1,46.9 to 63.1,231
Influenza,States,Puerto Rico,2017,Age,18-24 Years,30.5,24.5 to 37.0,362
Influenza,National,United States,2017,Age,18-24 Years,51.6,49.9 to 53.3,8453
Influenza,States,Rhode Island,2017,Age,18-24 Years,76.0,68.6 to 82.4,181
Influenza,States,South Dakota,2017,Age,18-24 Years,70.0,63.2 to 76.2,300
Influenza,States,Utah,2017,Age,18-24 Years,52.9,46.0 to 59.7,356
Influenza,States,Vermont,2017,Age,18-24 Years,65.4,55.2 to 74.7,108
Influenza,States,Virginia,2017,Age,18-24 Years,54.0,41.2 to 66.5,163
Influenza,States,Washington,2017,Age,18-24 Years,57.4,48.7 to 65.8,232
Influenza,States,West Virginia,2017,Age,18-24 Years,48.2,40.1 to 56.4,224
Influenza,States,Wisconsin,2017,Age,18-24 Years,61.6,52.4 to 70.2,402
Influenza,States,Wyoming,2017,Age,18-24 Years,41.1,30.3 to 52.5,118
Influenza,States,Alabama,2018,Age,18-24 Years,35.8,29.1 to 42.9,217
Influenza,States,Alaska,2018,Age,18-24 Years,65.9,57.9 to 73.3,232
Influenza,States,Arkansas,2018,Age,18-24 Years,57.4,47.0 to 67.3,305
Influenza,States,Colorado,2018,Age,18-24 Years,71.4,63.0 to 78.8,186
Influenza,States,Connecticut,2018,Age,18-24 Years,69.3,60.5 to 77.2,245
Influenza,States,Delaware,2018,Age,18-24 Years,51.9,43.5 to 60.2,172
Influenza,States,District of Columbia,2018,Age,18-24 Years,56.9,44.9 to 68.3,88
Influenza,States,Georgia,2018,Age,18-24 Years,29.3,21.5 to 38.1,198
Influenza,States,Illinois,2018,Age,18-24 Years,52.2,44.8 to 59.5,240
Influenza,States,Indiana,2018,Age,18-24 Years,52.9,43.3 to 62.4,213
Influenza,States,Iowa,2018,Age,18-24 Years,72.5,60.6 to 82.5,191
Influenza,States,Kansas,2018,Age,18-24 Years,62.5,53.0 to 71.3,196
Influenza,States,Kentucky,2018,Age,18-24 Years,36.8,28.1 to 46.2,230
Influenza,States,Louisiana,2018,Age,18-24 Years,36.8,30.5 to 43.4,273
Influenza,States,Maine,2018,Age,18-24 Years,55.0,44.8 to 64.9,146
Influenza,States,Maryland,2018,Age,18-24 Years,44.3,33.9 to 55.0,134
Influenza,States,Massachusetts,2018,Age,18-24 Years,67.2,57.8 to 75.7,202
Influenza,States,Michigan,2018,Age,18-24 Years,36.9,30.8 to 43.3,444
Influenza,States,Minnesota,2018,Age,18-24 Years,52.8,43.4 to 62.1,195
Influenza,States,Mississippi,2018,Age,18-24 Years,40.5,34.4 to 46.8,419
Influenza,States,Missouri,2018,Age,18-24 Years,53.2,45.5 to 60.8,222
Influenza,States,Montana,2018,Age,18-24 Years,57.6,50.2 to 64.8,195
Influenza,States,Nebraska,2018,Age,18-24 Years,69.0,60.3 to 76.9,299
Influenza,States,New Hampshire,2018,Age,18-24 Years,64.1,48.5 to 77.8,69
Influenza,States,New Jersey,2018,Age,18-24 Years,46.9,38.2 to 55.8,154
Influenza,States,New Mexico,2018,Age,18-24 Years,56.1,50.3 to 61.8,327
Influenza,States,New York,2018,Age,18-24 Years,48.8,40.7 to 57.0,338
Influenza,States,NY-City of New York,2018,Age,18-24 Years,51.7,43.5 to 59.8,207
Influenza,States,NY-Rest of state,2018,Age,18-24 Years,46.8,34.4 to 59.5,131
Influenza,States,North Carolina,2018,Age,18-24 Years,62.5,54.0 to 70.5,201
Influenza,States,North Dakota,2018,Age,18-24 Years,57.4,47.6 to 66.8,206
Influenza,States,Oklahoma,2018,Age,18-24 Years,54.0,47.3 to 60.6,466
Influenza,States,Oregon,2018,Age,18-24 Years,59.9,49.6 to 69.6,300
Influenza,States,Pennsylvania,2018,Age,18-24 Years,44.8,35.8 to 54.1,163
Influenza,States,Puerto Rico,2018,Age,18-24 Years,38.7,32.1 to 45.6,352
Influenza,National,United States,2018,Age,18-24 Years,50.2,48.6 to 51.8,9652
Influenza,States,Rhode Island,2018,Age,18-24 Years,76.7,67.2 to 84.6,148
Influenza,States,South Dakota,2018,Age,18-24 Years,70.7,63.3 to 77.3,236
Influenza,States,Utah,2018,Age,18-24 Years,64.2,57.4 to 70.6,327
Influenza,States,Vermont,2018,Age,18-24 Years,55.7,45.3 to 65.8,112
Influenza,States,Virginia,2018,Age,18-24 Years,43.0,30.8 to 55.9,178
Influenza,States,Washington,2018,Age,18-24 Years,58.0,49.1 to 66.6,191
Influenza,States,West Virginia,2018,Age,18-24 Years,50.3,42.2 to 58.4,224
Influenza,States,Wisconsin,2018,Age,18-24 Years,56.8,46.7 to 66.5,262
Influenza,States,Wyoming,2018,Age,18-24 Years,48.3,38.1 to 58.6,156
Influenza,States,Alabama,2019,Age,18-24 Years,42.4,35.5 to 49.5,205
Influenza,States,Alaska,2019,Age,18-24 Years,62.8,54.9 to 70.3,241
Influenza,States,Arkansas,2019,Age,18-24 Years,63.4,53.9 to 72.2,324
Influenza,States,Colorado,2019,Age,18-24 Years,72.3,63.8 to 79.8,186
Influenza,States,Connecticut,2019,Age,18-24 Years,62.5,52.9 to 71.4,168
Influenza,States,Delaware,2019,Age,18-24 Years,55.8,47.2 to 64.2,158
Influenza,States,District of Columbia,2019,Age,18-24 Years,41.5,27.6 to 56.5,62
Influenza,States,Florida,2019,Age,18-24 Years,29.9,23.2 to 37.3,250
Influenza,States,Georgia,2019,Age,18-24 Years,25.3,17.5 to 34.4,182
Influenza,States,Hawaii,2019,Age,18-24 Years,59.1,44.2 to 72.9,98
Influenza,States,Illinois,2019,Age,18-24 Years,57.5,49.7 to 65.0,225
Influenza,States,Iowa,2019,Age,18-24 Years,62.8,48.1 to 76.0,177
Influenza,States,Kansas,2019,Age,18-24 Years,63.7,54.8 to 71.9,214
Influenza,States,Kentucky,2019,Age,18-24 Years,42.2,33.7 to 51.1,239
Influenza,States,Louisiana,2019,Age,18-24 Years,44.8,37.6 to 52.1,283
Influenza,States,Maine,2019,Age,18-24 Years,61.9,51.0 to 71.9,137
Influenza,States,Maryland,2019,Age,18-24 Years,58.6,47.5 to 69.1,137
Influenza,States,Massachusetts,2019,Age,18-24 Years,67.1,58.1 to 75.2,183
Influenza,States,Michigan,2019,Age,18-24 Years,44.7,37.0 to 52.5,316
Influenza,States,Minnesota,2019,Age,18-24 Years,63.3,53.1 to 72.7,206
Influenza,States,Mississippi,2019,Age,18-24 Years,40.3,34.4 to 46.4,410
Influenza,States,Missouri,2019,Age,18-24 Years,55.8,48.6 to 62.8,306
Influenza,States,Montana,2019,Age,18-24 Years,68.4,60.0 to 76.0,155
Influenza,States,Nebraska,2019,Age,18-24 Years,71.8,64.0 to 78.7,362
Influenza,States,New Hampshire,2019,Age,18-24 Years,NR*,NR*,72
Influenza,States,New Jersey,2019,Age,18-24 Years,45.6,36.7 to 54.7,147
Influenza,States,New Mexico,2019,Age,18-24 Years,62.1,55.7 to 68.2,249
Influenza,States,New York,2019,Age,18-24 Years,56.7,48.4 to 64.7,277
Influenza,States,NY-City of New York,2019,Age,18-24 Years,63.2,54.1 to 71.7,160
Influenza,States,NY-Rest of state,2019,Age,18-24 Years,50.2,36.6 to 63.8,117
Influenza,States,North Carolina,2019,Age,18-24 Years,62.1,52.7 to 70.9,165
Influenza,States,North Dakota,2019,Age,18-24 Years,70.2,59.8 to 79.2,179
Influenza,States,Oregon,2019,Age,18-24 Years,65.1,57.1 to 72.6,504
Influenza,States,Pennsylvania,2019,Age,18-24 Years,65.2,54.2 to 75.1,178
Influenza,States,Puerto Rico,2019,Age,18-24 Years,41.9,35.3 to 48.8,354
Influenza,National,United States,2019,Age,18-24 Years,52.2,50.4 to 54.0,9032
Influenza,States,Rhode Island,2019,Age,18-24 Years,79.2,70.5 to 86.3,155
Influenza,States,South Dakota,2019,Age,18-24 Years,75.9,68.6 to 82.2,237
Influenza,States,Tennessee,2019,Age,18-24 Years,50.0,38.4 to 61.6,169
Influenza,States,Utah,2019,Age,18-24 Years,59.7,52.7 to 66.4,336
Influenza,States,Vermont,2019,Age,18-24 Years,59.3,48.9 to 69.2,104
Influenza,States,Virginia,2019,Age,18-24 Years,60.1,46.9 to 72.3,150
Influenza,States,Washington,2019,Age,18-24 Years,66.9,58.3 to 74.8,216
Influenza,States,Wisconsin,2019,Age,18-24 Years,65.7,54.9 to 75.4,174
Influenza,States,Wyoming,2019,Age,18-24 Years,60.3,49.7 to 70.3,142
Influenza,States,Alaska,2012,Age,25-34 Years,48.3,43.0 to 53.6,474
Influenza,States,Arkansas,2012,Age,25-34 Years,53.0,44.4 to 61.5,357
Influenza,States,Colorado,2012,Age,25-34 Years,55.2,50.0 to 60.3,680
Influenza,States,Delaware,2012,Age,25-34 Years,46.9,42.5 to 51.3,536
Influenza,States,Georgia,2012,Age,25-34 Years,35.7,30.2 to 41.5,469
Influenza,States,Hawaii,2012,Age,25-34 Years,42.6,38.1 to 47.1,779
Influenza,States,Illinois,2012,Age,25-34 Years,48.5,44.1 to 52.9,606
Influenza,States,Maine,2012,Age,25-34 Years,53.1,47.0 to 59.1,372
Influenza,States,Maryland,2012,Age,25-34 Years,49.9,44.7 to 55.1,533
Influenza,States,Massachusetts,2012,Age,25-34 Years,69.9,65.5 to 74.0,886
Influenza,States,Michigan,2012,Age,25-34 Years,45.4,41.2 to 49.6,960
Influenza,States,Minnesota,2012,Age,25-34 Years,66.4,62.1 to 70.5,577
Influenza,States,Missouri,2012,Age,25-34 Years,51.8,46.5 to 57.0,458
Influenza,States,Nebraska,2012,Age,25-34 Years,60.7,55.9 to 65.3,623
Influenza,States,New Jersey,2012,Age,25-34 Years,40.1,35.9 to 44.5,640
Influenza,States,New Mexico,2012,Age,25-34 Years,48.7,43.5 to 53.9,465
Influenza,States,New York,2012,Age,25-34 Years,37.7,33.4 to 42.1,741
Influenza,States,NY-City of New York,2012,Age,25-34 Years,37.7,33.4 to 42.1,741
Influenza,States,Ohio,2012,Age,25-34 Years,44.4,40.5 to 48.4,995
Influenza,States,Oklahoma,2012,Age,25-34 Years,46.7,41.3 to 52.2,981
Influenza,States,Oregon,2012,Age,25-34 Years,54.7,47.6 to 61.7,410
Influenza,States,Pennsylvania,2012,Age,25-34 Years,50.0,44.8 to 55.2,474
Influenza,National,United States,2012,Age,25-34 Years,49.8,48.7 to 50.9,17745
Influenza,States,Rhode Island,2012,Age,25-34 Years,61.4,57.4 to 65.3,681
Influenza,States,Tennessee,2012,Age,25-34 Years,45.2,39.5 to 51.0,447
Influenza,States,Utah,2012,Age,25-34 Years,53.1,49.0 to 57.2,851
Influenza,States,Vermont,2012,Age,25-34 Years,58.5,54.2 to 62.7,538
Influenza,States,Washington,2012,Age,25-34 Years,64.9,59.6 to 69.9,552
Influenza,States,West Virginia,2012,Age,25-34 Years,45.4,40.0 to 50.9,542
Influenza,States,Wisconsin,2012,Age,25-34 Years,57.9,52.4 to 63.2,739
Influenza,States,Wyoming,2012,Age,25-34 Years,42.6,36.4 to 49.0,379
Influenza,States,Alaska,2013,Age,25-34 Years,55.3,50.6 to 59.9,693
Influenza,States,Arkansas,2013,Age,25-34 Years,54.4,47.4 to 61.3,466
Influenza,States,Colorado,2013,Age,25-34 Years,66.8,62.4 to 71.0,927
Influenza,States,Delaware,2013,Age,25-34 Years,54.8,50.4 to 59.2,553
Influenza,States,Georgia,2013,Age,25-34 Years,29.3,22.4 to 37.0,376
Influenza,States,Hawaii,2013,Age,25-34 Years,50.5,45.6 to 55.4,777
Influenza,States,Illinois,2013,Age,25-34 Years,56.8,53.0 to 60.5,810
Influenza,States,Iowa,2013,Age,25-34 Years,69.1,63.7 to 74.1,602
Influenza,States,Maine,2013,Age,25-34 Years,65.4,60.5 to 70.1,541
Influenza,States,Maryland,2013,Age,25-34 Years,55.2,51.0 to 59.3,759
Influenza,States,Massachusetts,2013,Age,25-34 Years,70.5,65.9 to 74.8,833
Influenza,States,Michigan,2013,Age,25-34 Years,47.2,43.0 to 51.5,1019
Influenza,States,Minnesota,2013,Age,25-34 Years,72.1,68.3 to 75.6,798
Influenza,States,Missouri,2013,Age,25-34 Years,56.8,52.5 to 61.0,669
Influenza,States,Nebraska,2013,Age,25-34 Years,70.0,66.3 to 73.5,898
Influenza,States,New Hampshire,2013,Age,25-34 Years,67.6,61.6 to 73.2,382
Influenza,States,New Jersey,2013,Age,25-34 Years,41.5,36.9 to 46.2,548
Influenza,States,New Mexico,2013,Age,25-34 Years,57.6,53.7 to 61.5,759
Influenza,States,New York,2013,Age,25-34 Years,50.7,47.1 to 54.3,1184
Influenza,States,NY-City of New York,2013,Age,25-34 Years,46.3,41.9 to 50.8,713
Influenza,States,NY-Rest of state,2013,Age,25-34 Years,55.3,49.4 to 61.1,471
Influenza,States,Oklahoma,2013,Age,25-34 Years,56.5,51.1 to 61.8,1024
Influenza,States,Oregon,2013,Age,25-34 Years,60.6,55.6 to 65.5,823
Influenza,States,Pennsylvania,2013,Age,25-34 Years,58.1,53.5 to 62.6,628
Influenza,National,United States,2013,Age,25-34 Years,57.2,56.2 to 58.2,20862
Influenza,States,Rhode Island,2013,Age,25-34 Years,71.5,67.5 to 75.2,667
Influenza,States,Tennessee,2013,Age,25-34 Years,55.8,49.4 to 62.1,390
Influenza,States,Utah,2013,Age,25-34 Years,59.0,54.7 to 63.2,771
Influenza,States,Vermont,2013,Age,25-34 Years,65.3,61.2 to 69.3,575
Influenza,States,Washington,2013,Age,25-34 Years,64.8,59.9 to 69.5,611
Influenza,States,West Virginia,2013,Age,25-34 Years,56.3,51.2 to 61.3,650
Influenza,States,Wisconsin,2013,Age,25-34 Years,70.6,65.6 to 75.3,790
Influenza,States,Wyoming,2013,Age,25-34 Years,57.5,50.9 to 63.9,339
Influenza,States,Alabama,2014,Age,25-34 Years,44.0,39.4 to 48.7,463
Influenza,States,Alaska,2014,Age,25-34 Years,61.5,56.8 to 66.1,647
Influenza,States,Connecticut,2014,Age,25-34 Years,63.8,59.0 to 68.4,714
Influenza,States,Delaware,2014,Age,25-34 Years,57.5,53.1 to 61.8,558
Influenza,States,Hawaii,2014,Age,25-34 Years,51.5,46.4 to 56.6,723
Influenza,States,Illinois,2014,Age,25-34 Years,54.5,50.7 to 58.3,790
Influenza,States,Iowa,2014,Age,25-34 Years,69.9,64.3 to 75.1,615
Influenza,States,Maine,2014,Age,25-34 Years,62.5,57.3 to 67.5,502
Influenza,States,Maryland,2014,Age,25-34 Years,54.9,50.7 to 59.1,739
Influenza,States,Massachusetts,2014,Age,25-34 Years,73.0,68.9 to 76.8,923
Influenza,States,Missouri,2014,Age,25-34 Years,60.6,56.4 to 64.7,681
Influenza,States,Nebraska,2014,Age,25-34 Years,73.2,69.3 to 76.8,853
Influenza,States,New Hampshire,2014,Age,25-34 Years,64.8,58.7 to 70.5,374
Influenza,States,New Jersey,2014,Age,25-34 Years,48.3,44.2 to 52.4,768
Influenza,States,New Mexico,2014,Age,25-34 Years,67.7,63.8 to 71.4,664
Influenza,States,New York,2014,Age,25-34 Years,56.8,53.4 to 60.2,1203
Influenza,States,NY-City of New York,2014,Age,25-34 Years,52.9,48.8 to 56.9,692
Influenza,States,NY-Rest of state,2014,Age,25-34 Years,60.7,55.1 to 66.1,511
Influenza,States,Ohio,2014,Age,25-34 Years,51.4,47.2 to 55.6,901
Influenza,States,Oklahoma,2014,Age,25-34 Years,54.9,49.4 to 60.3,1091
Influenza,States,Pennsylvania,2014,Age,25-34 Years,59.6,54.9 to 64.2,610
Influenza,National,United States,2014,Age,25-34 Years,58.4,57.3 to 59.5,18711
Influenza,States,Rhode Island,2014,Age,25-34 Years,76.8,73.2 to 80.1,723
Influenza,States,Tennessee,2014,Age,25-34 Years,50.0,43.5 to 56.5,398
Influenza,States,Utah,2014,Age,25-34 Years,60.7,56.5 to 64.8,770
Influenza,States,Vermont,2014,Age,25-34 Years,67.2,63.2 to 71.0,579
Influenza,States,Washington,2014,Age,25-34 Years,68.1,63.5 to 72.4,688
Influenza,States,West Virginia,2014,Age,25-34 Years,60.0,54.5 to 65.3,575
Influenza,States,Wisconsin,2014,Age,25-34 Years,68.5,63.6 to 73.2,795
Influenza,States,Wyoming,2014,Age,25-34 Years,50.6,44.5 to 56.7,364
Influenza,States,Alabama,2015,Age,25-34 Years,53.3,48.5 to 58.0,445
Influenza,States,Alaska,2015,Age,25-34 Years,57.6,52.7 to 62.4,631
Influenza,States,Arkansas,2015,Age,25-34 Years,66.9,60.6 to 72.8,428
Influenza,States,Colorado,2015,Age,25-34 Years,67.9,63.7 to 71.9,951
Influenza,States,Connecticut,2015,Age,25-34 Years,68.1,62.9 to 73.0,601
Influenza,States,Delaware,2015,Age,25-34 Years,57.3,53.0 to 61.6,563
Influenza,States,Hawaii,2015,Age,25-34 Years,59.8,54.9 to 64.5,712
Influenza,States,Illinois,2015,Age,25-34 Years,56.2,52.5 to 59.9,834
Influenza,States,Iowa,2015,Age,25-34 Years,70.4,64.7 to 75.7,611
Influenza,States,Louisiana,2015,Age,25-34 Years,49.2,44.7 to 53.7,957
Influenza,States,Maine,2015,Age,25-34 Years,60.5,55.4 to 65.5,525
Influenza,States,Maryland,2015,Age,25-34 Years,60.8,56.5 to 65.0,696
Influenza,States,Massachusetts,2015,Age,25-34 Years,75.4,71.5 to 79.1,777
Influenza,States,Michigan,2015,Age,25-34 Years,55.0,50.8 to 59.1,861
Influenza,States,Missouri,2015,Age,25-34 Years,56.9,52.4 to 61.3,661
Influenza,States,Nebraska,2015,Age,25-34 Years,72.2,68.3 to 75.9,821
Influenza,States,New Hampshire,2015,Age,25-34 Years,71.5,65.6 to 76.9,366
Influenza,States,New Jersey,2015,Age,25-34 Years,49.4,45.2 to 53.6,669
Influenza,States,New Mexico,2015,Age,25-34 Years,62.2,58.6 to 65.7,734
Influenza,States,New York,2015,Age,25-34 Years,57.6,54.3 to 60.9,1328
Influenza,States,NY-City of New York,2015,Age,25-34 Years,57.3,53.4 to 61.1,759
Influenza,States,NY-Rest of state,2015,Age,25-34 Years,57.8,52.4 to 63.1,569
Influenza,States,Ohio,2015,Age,25-34 Years,52.6,47.4 to 57.7,801
Influenza,States,Oklahoma,2015,Age,25-34 Years,53.3,48.0 to 58.5,1054
Influenza,States,Oregon,2015,Age,25-34 Years,64.2,59.2 to 69.0,851
Influenza,States,Pennsylvania,2015,Age,25-34 Years,60.8,56.3 to 65.2,637
Influenza,National,United States,2015,Age,25-34 Years,58.4,57.3 to 59.5,22729
Influenza,States,Tennessee,2015,Age,25-34 Years,55.5,49.5 to 61.4,529
Influenza,States,Texas,2015,Age,25-34 Years,52.7,47.9 to 57.4,672
Influenza,States,Utah,2015,Age,25-34 Years,62.4,58.2 to 66.5,778
Influenza,States,Vermont,2015,Age,25-34 Years,63.2,58.8 to 67.5,509
Influenza,States,Virginia,2015,Age,25-34 Years,61.6,55.4 to 67.6,412
Influenza,States,Washington,2015,Age,25-34 Years,65.0,60.5 to 69.3,697
Influenza,States,West Virginia,2015,Age,25-34 Years,55.9,50.2 to 61.5,537
Influenza,States,Wisconsin,2015,Age,25-34 Years,66.0,60.7 to 71.0,765
Influenza,States,Wyoming,2015,Age,25-34 Years,57.8,51.1 to 64.3,316
Influenza,States,Alaska,2016,Age,25-34 Years,56.2,51.4 to 61.0,642
Influenza,States,Arkansas,2016,Age,25-34 Years,64.0,57.2 to 70.4,450
Influenza,States,Colorado,2016,Age,25-34 Years,66.1,61.8 to 70.2,960
Influenza,States,Connecticut,2016,Age,25-34 Years,69.8,65.6 to 73.8,780
Influenza,States,Delaware,2016,Age,25-34 Years,58.4,54.0 to 62.7,552
Influenza,States,Hawaii,2016,Age,25-34 Years,57.0,51.5 to 62.4,624
Influenza,States,Illinois,2016,Age,25-34 Years,59.9,56.0 to 63.7,818
Influenza,States,Iowa,2016,Age,25-34 Years,70.7,65.3 to 75.7,580
Influenza,States,Louisiana,2016,Age,25-34 Years,52.8,48.0 to 57.5,469
Influenza,States,Maine,2016,Age,25-34 Years,62.8,57.3 to 68.1,504
Influenza,States,Maryland,2016,Age,25-34 Years,59.9,55.6 to 64.1,676
Influenza,States,Massachusetts,2016,Age,25-34 Years,71.6,67.2 to 75.7,773
Influenza,States,Michigan,2016,Age,25-34 Years,58.5,54.6 to 62.3,984
Influenza,States,Missouri,2016,Age,25-34 Years,58.0,53.4 to 62.5,618
Influenza,States,Nebraska,2016,Age,25-34 Years,76.3,72.6 to 79.8,798
Influenza,States,New Hampshire,2016,Age,25-34 Years,68.1,62.1 to 73.7,370
Influenza,States,New Jersey,2016,Age,25-34 Years,51.7,47.8 to 55.6,771
Influenza,States,New Mexico,2016,Age,25-34 Years,67.8,63.9 to 71.6,609
Influenza,States,New York,2016,Age,25-34 Years,59.1,55.8 to 62.3,1281
Influenza,States,NY-City of New York,2016,Age,25-34 Years,55.6,51.8 to 59.4,762
Influenza,States,NY-Rest of state,2016,Age,25-34 Years,62.8,57.4 to 68.0,519
Influenza,States,Oklahoma,2016,Age,25-34 Years,56.7,51.9 to 61.4,918
Influenza,States,Pennsylvania,2016,Age,25-34 Years,61.0,56.4 to 65.5,641
Influenza,National,United States,2016,Age,25-34 Years,61.5,60.4 to 62.6,20448
Influenza,States,Rhode Island,2016,Age,25-34 Years,75.2,71.5 to 78.7,691
Influenza,States,Texas,2016,Age,25-34 Years,59.6,55.6 to 63.5,992
Influenza,States,Utah,2016,Age,25-34 Years,64.5,60.2 to 68.7,767
Influenza,States,Vermont,2016,Age,25-34 Years,67.3,63.0 to 71.4,544
Influenza,States,Virginia,2016,Age,25-34 Years,61.1,54.7 to 67.2,393
Influenza,States,Washington,2016,Age,25-34 Years,67.8,63.3 to 72.0,769
Influenza,States,West Virginia,2016,Age,25-34 Years,63.1,57.2 to 68.7,404
Influenza,States,Wisconsin,2016,Age,25-34 Years,71.6,66.6 to 76.3,728
Influenza,States,Wyoming,2016,Age,25-34 Years,56.1,49.7 to 62.3,342
Influenza,States,Alabama,2017,Age,25-34 Years,52.9,48.0 to 57.8,462
Influenza,States,Alaska,2017,Age,25-34 Years,57.4,52.5 to 62.2,621
Influenza,States,Colorado,2017,Age,25-34 Years,70.3,66.5 to 73.9,670
Influenza,States,Connecticut,2017,Age,25-34 Years,71.5,67.3 to 75.4,842
Influenza,States,Delaware,2017,Age,25-34 Years,57.9,53.5 to 62.2,542
Influenza,States,Georgia,2017,Age,25-34 Years,45.6,39.5 to 51.8,530
Influenza,States,Illinois,2017,Age,25-34 Years,59.6,55.5 to 63.6,707
Influenza,States,Iowa,2017,Age,25-34 Years,70.9,65.3 to 76.1,605
Influenza,States,Kansas,2017,Age,25-34 Years,69.5,64.3 to 74.3,585
Influenza,States,Kentucky,2017,Age,25-34 Years,58.2,51.8 to 64.4,363
Influenza,States,Louisiana,2017,Age,25-34 Years,46.1,41.2 to 51.1,477
Influenza,States,Maine,2017,Age,25-34 Years,63.6,58.6 to 68.4,524
Influenza,States,Maryland,2017,Age,25-34 Years,61.4,56.8 to 65.9,622
Influenza,States,Massachusetts,2017,Age,25-34 Years,71.6,67.4 to 75.6,828
Influenza,States,Michigan,2017,Age,25-34 Years,56.7,52.8 to 60.5,1046
Influenza,States,Missouri,2017,Age,25-34 Years,56.7,52.2 to 61.1,675
Influenza,States,Montana,2017,Age,25-34 Years,64.3,60.2 to 68.3,558
Influenza,States,New Hampshire,2017,Age,25-34 Years,74.3,68.3 to 79.7,370
